Header format=1 ntrks=1 division=384
Track start
Time=0  Tempo, microseconds-per-MIDI-quarter-note=500000
Time=26116  Note on, chan=1 pitch=60 vol=70
Time=26208  Parameter, chan=1 c1=64 c2=127
Time=26252  Note on, chan=1 pitch=67 vol=0
Time=26260  Note on, chan=1 pitch=55 vol=0
Time=26268  Note on, chan=1 pitch=60 vol=0
Time=26272  Note on, chan=1 pitch=56 vol=0
Time=26276  Note on, chan=1 pitch=70 vol=0
Time=26840  Parameter, chan=1 c1=64 c2=0
Time=26884  Note on, chan=1 pitch=56 vol=64
Time=26884  Note on, chan=1 pitch=68 vol=70
Time=26888  Note on, chan=1 pitch=50 vol=73
Time=26892  Note on, chan=1 pitch=65 vol=76
Time=26896  Note on, chan=1 pitch=60 vol=62
Time=27024  Note on, chan=1 pitch=50 vol=0
Time=27028  Note on, chan=1 pitch=60 vol=0
Time=27040  Note on, chan=1 pitch=65 vol=0
Time=27040  Note on, chan=1 pitch=56 vol=0
Time=27056  Note on, chan=1 pitch=68 vol=0
Time=27140  Note on, chan=1 pitch=68 vol=64
Time=27144  Note on, chan=1 pitch=56 vol=73
Time=27152  Note on, chan=1 pitch=50 vol=82
Time=27152  Note on, chan=1 pitch=65 vol=73
Time=27156  Note on, chan=1 pitch=60 vol=70
Time=27192  Note on, chan=1 pitch=65 vol=0
Time=27192  Note on, chan=1 pitch=50 vol=0
Time=27196  Note on, chan=1 pitch=60 vol=0
Time=27208  Note on, chan=1 pitch=68 vol=0
Time=27216  Note on, chan=1 pitch=56 vol=0
Time=27644  Note on, chan=1 pitch=59 vol=76
Time=27648  Note on, chan=1 pitch=53 vol=76
Time=27652  Note on, chan=1 pitch=68 vol=64
Time=27652  Note on, chan=1 pitch=65 vol=73
Time=27696  Note on, chan=1 pitch=65 vol=0
Time=27704  Note on, chan=1 pitch=59 vol=0
Time=27708  Note on, chan=1 pitch=68 vol=0
Time=27724  Note on, chan=1 pitch=53 vol=0
Time=28272  Note on, chan=1 pitch=58 vol=73
Time=28272  Note on, chan=1 pitch=68 vol=73
Time=28276  Note on, chan=1 pitch=63 vol=70
Time=28276  Note on, chan=1 pitch=72 vol=82
Time=28280  Note on, chan=1 pitch=52 vol=79
Time=28480  Parameter, chan=1 c1=64 c2=127
Time=28640  Note on, chan=1 pitch=63 vol=0
Time=28652  Note on, chan=1 pitch=72 vol=0
Time=28656  Note on, chan=1 pitch=68 vol=0
Time=28676  Note on, chan=1 pitch=52 vol=0
Time=28688  Note on, chan=1 pitch=58 vol=0
Time=29108  Parameter, chan=1 c1=64 c2=0
Time=29168  Note on, chan=1 pitch=67 vol=76
Time=29172  Note on, chan=1 pitch=72 vol=82
Time=29172  Note on, chan=1 pitch=79 vol=82
Time=29172  Note on, chan=1 pitch=56 vol=76
Time=29184  Note on, chan=1 pitch=60 vol=70
Time=29184  Note on, chan=1 pitch=55 vol=85
Time=29292  Parameter, chan=1 c1=64 c2=127
Time=29380  Note on, chan=1 pitch=55 vol=0
Time=29404  Note on, chan=1 pitch=72 vol=0
Time=29408  Note on, chan=1 pitch=60 vol=0
Time=29412  Note on, chan=1 pitch=56 vol=0
Time=29416  Note on, chan=1 pitch=67 vol=0
Time=29428  Note on, chan=1 pitch=79 vol=0
Time=29788  Note on, chan=1 pitch=65 vol=89
Time=29796  Note on, chan=1 pitch=77 vol=85
Time=29796  Note on, chan=1 pitch=50 vol=82
Time=29800  Note on, chan=1 pitch=56 vol=70
Time=29804  Parameter, chan=1 c1=64 c2=0
Time=29804  Note on, chan=1 pitch=60 vol=70
Time=29844  Note on, chan=1 pitch=60 vol=0
Time=29844  Note on, chan=1 pitch=50 vol=0
Time=29852  Note on, chan=1 pitch=65 vol=0
Time=29860  Note on, chan=1 pitch=56 vol=0
Time=29860  Note on, chan=1 pitch=77 vol=0
Time=30964  Note on, chan=1 pitch=77 vol=85
Time=30968  Note on, chan=1 pitch=61 vol=82
